GEOID,NAME,medhomeval,medhhincome,poverty_rate,bachelors_rate,pBlack,pHispanic,vacancy_rate
17031010100,"Census Tract 101, Cook County, Illinois",252800,32474,0.31680800173950857,0.2936458975940777,0.4446618830180474,0.11372037399434659,0.10186240973014063
17031010201,"Census Tract 102.01, Cook County, Illinois",169700,45639,0.3715627095908786,0.1925367209210004,0.3327967806841046,0.22414486921529175,0.07880617035546612
17031010202,"Census Tract 102.02, Cook County, Illinois",175200,41486,0.20062154696132597,0.20818771842236644,0.3363259668508287,0.26001381215469616,0.10410094637223975
17031010300,"Census Tract 103, Cook County, Illinois",189500,41250,0.11087124132613724,0.20346153846153847,0.30763299922898996,0.1694680030840401,0.0863139225539462
17031010400,"Census Tract 104, Cook County, Illinois",217000,39700,0.1505850757721082,0.41487353718384296,0.2117782466909649,0.07519662382505275,0.1069182389937107
17031010501,"Census Tract 105.01, Cook County, Illinois",306200,39730,0.166747927840078,0.3295042321644498,0.3310580204778157,0.09434422233057045,0.11019490254872563
17031010502,"Census Tract 105.02, Cook County, Illinois",229700,39388,0.30592424732923273,0.3044155844155844,0.2165749433473616,0.1505341534477177,0.10580204778156997
17031010503,"Census Tract 105.03, Cook County, Illinois",303100,18516,0.48283499446290146,0.1631663974151858,0.14119601328903655,0.029900332225913623,0.18475750577367206
17031010600,"Census Tract 106, Cook County, Illinois",232700,50882,0.2698983580922596,0.2713455520786768,0.1781078967943706,0.2401876465989054,0.11362949531580538
17031010701,"Census Tract 107.01, Cook County, Illinois",236100,60167,0.12900552486187844,0.2770771513353116,0.2345303867403315,0.2604972375690608,0.11475409836065574
17031010702,"Census Tract 107.02, Cook County, Illinois",165900,44583,0.22766627312081858,0.25724404378622023,0.31463990554899646,0.2709563164108619,0.07791057990261177
17031020100,"Census Tract 201, Cook County, Illinois",164700,48841,0.15339966832504145,0.2671957671957672,0.3333333333333333,0.2584300718629077,0.13163972286374134
17031020200,"Census Tract 202, Cook County, Illinois",348700,94115,0.11154970760233918,0.28464942930351733,0.10394736842105264,0.18216374269005847,0.07839643652561247
17031020301,"Census Tract 203.01, Cook County, Illinois",187600,56973,0.14060178306092125,0.40075014425851124,0.036404160475482915,0.07020802377414562,0.06604194556001784
17031020302,"Census Tract 203.02, Cook County, Illinois",328300,77500,0.13120498345337744,0.2990390050876201,0.0967490753357991,0.13568230484718707,0.08821975699947174
17031020400,"Census Tract 204, Cook County, Illinois",277300,65917,0.16322217003287928,0.3074636723910172,0.23015500234852043,0.20831376232973225,0.0960604425256341
17031020500,"Census Tract 205, Cook County, Illinois",156900,44926,0.21712177121771217,0.1861152141802068,0.13284132841328414,0.2521033210332103,0.1271363067944977
17031020601,"Census Tract 206.01, Cook County, Illinois",307700,38177,0.3538697318007663,0.2774953170992775,0.05455938697318008,0.05210727969348659,0.09010682768230376
17031020602,"Census Tract 206.02, Cook County, Illinois",353900,57045,0.22497376705141658,0.27079646017699116,0.1311647429171039,0.25246589716684154,0.10238248551191242
17031020701,"Census Tract 207.01, Cook County, Illinois",397600,97250,0.08622559652928416,0.3078635014836795,0.04338394793926247,0.11496746203904555,0.09973404255319149
17031020702,"Census Tract 207.02, Cook County, Illinois",220100,49167,0.21286165815706298,0.20773135493947675,0.08485290542183321,0.30087527352297594,0.08234392952891613
17031020801,"Census Tract 208.01, Cook County, Illinois",347600,54052,0.14218623481781376,0.19410977242302543,0.030283400809716598,0.24761133603238866,0.05143591941705958
17031020802,"Census Tract 208.02, Cook County, Illinois",287400,46219,0.325922182920667,0.18150619637750237,0.0717534108135422,0.12342091965639211,0.08353127474267617
